,crimetype,datetime,casenumber,description,policebeat,address,city,state,location_1,:@computed_region_w23w_jfhw
97,PETTY THEFT,2016-09-06 06:30:00,16-912055,THEFT,08X,2300 VALLEY ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.267741, 37.81205]}",1489.0
104,BURG - AUTO,2017-02-21 11:30:00,17-009417,ATTEMPTED BURGLARY-AUTO,33X,8400 B ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.1811, 37.752484]}",1493.0
105,PETTY THEFT,2017-02-21 15:56:00,17-009496,THEFT,27X,1600 HIGH ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.213189, 37.773599]}",1188.0
107,MISDEMEANOR ASSAULT,2017-03-02 21:52:00,17-011244,TRESPASSING,34X,2000 83RD AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.171691, 37.758342999999996]}",1493.0
108,RECOVERED O/S STOLEN,2017-02-22 18:53:00,17-009736,VEHICLE THEFT - AUTO,29X,3900 GARDENIA PL,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.171414, 37.777111]}",1482.0
109,BURG - AUTO,2017-03-01 19:00:00,17-011333,BURGLARY-AUTO,26X,6300 COLISEUM WY,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.206736, 37.756471]}",1493.0
112,BURG - AUTO,2017-03-20 10:35:00,17-014539,BURGLARY-AUTO,04X,17TH ST & JEFFERSON ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.273587, 37.807627]}",1489.0
113,OTHER,2017-02-22 17:30:00,17-010077,CRIMINAL CONTEMPT,30Y,2600 73RD AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.175421, 37.766901]}",1482.0
115,PETTY THEFT,2017-03-03 15:30:00,17-012016,THEFT,30X,1600 70TH AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.187932, 37.761474]}",1493.0
117,OTHER,2017-02-17 13:56:00,17-008837,STALKING-MISD,07X,1200 W GRAND AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.285022, 37.815865]}",1484.0
121,STOLEN VEHICLE,2017-02-19 15:00:00,17-009254,VEHICLE THEFT - AUTO,33X,900 90TH AV,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.18278, 37.745788]}",1481.0
124,PETTY THEFT,2017-02-10 01:00:00,17-007802,THEFT,18Y,1900 E 26TH ST,Oakland,CA,"{'type': 'Point', 'coordinates': [-122.232554, 37.795179]}",1483.0
